,comp_no_empl,tech_comp_flag,mh_coverage_flag,mh_coverage_awareness_flag,mh_employer_discussion,mh_resources_provided,mh_anonimity_flag,mh_medical_leave,mh_discussion_neg_impact,ph_discussion_neg_impact,mh_discussion_cowork,mh_discussion_supervis,mh_eq_ph_employer,mh_conseq_coworkers,prev_employers_flag,prev_mh_benefits,prev_mh_benefits_awareness,prev_mh_discussion,prev_mh_resources,prev_mh_anonimity,prev_mh_discuss_neg_conseq,prev_ph_discuss_neg_conseq,prev_mh_discussion_cowork,prev_mh_discussion_supervisor,prev_mh_importance_employer,prev_mh_conseq_coworkers,future_ph_specification,why/why_not,future_mh_specification,why/why_not2,mh_hurt_on_career,mh_neg_view_cowork,mh_sharing_friends/fam_flag,mh_bad_response_workplace,mh_family_hist,mh_disorder_past,mh_disorder_current,mh_diagnos_proffesional,mh_sought_proffes_treatm,mh_eff_treat_impact_on_work,mh_not_eff_treat_impact_on_work,age,sex,work_position,remote_flag
415,6-25,0.0,Yes,I am not sure,No,Yes,No,Neither easy nor difficult,No,No,Yes,Yes,Yes,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Depends on the view of the employer about mental health.,Maybe,Depends on the amount of open view on it,"No, I don't think it would","No, I don't think they would",Somewhat open,No,I don't know,Yes,Yes,Yes,1,Rarely,Sometimes,30,Male,Front-end Developer|Back-end Developer|Support|DevOps/SysAdmin,Never
416,26-100,1.0,No,No,Yes,No,I don't know,Very difficult,No,No,Yes,Yes,Yes,No,1,Some did,"No, I only became aware later",None did,None did,"Yes, always",Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",Yes,If it affected my work or was something obvious I would talk about it.,No,Because I would be scared they would think that it affects my work and I'm not worth hiring.,"Yes, I think it would","No, I don't think they would",Somewhat open,No,No,Yes,Yes,Yes,1,Sometimes,Sometimes,26,Female,Dev Evangelist/Advocate,Always
417,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,It depends how well I connected with the interviewer,No,It's hard to talk about in that high pressure situation,"No, I don't think it would",Maybe,Somewhat open,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,27,Female,Back-end Developer|DevOps/SysAdmin|Supervisor/Team Lead|Other,Never
418,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,Fear of discrimination,No,Stigma,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,I don't know,No,Yes,Yes,1,Never,Often,27,Male,One-person shop,Always
419,26-100,1.0,Not eligible for coverage / N/A,No,No,No,I don't know,I don't know,No,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,It may affect my availability to perform my job,Maybe,"I wouldn't because for fear of not being hired because of it, but at the same time I feel like I should It may affect my availability to perform my job",Maybe,Maybe,Very open,No,Yes,Yes,Maybe,No,1,Not applicable to me,Sometimes,29,Male,Back-end Developer,Always
420,26-100,1.0,Yes,Yes,Yes,Yes,I don't know,I don't know,Maybe,Maybe,Yes,Maybe,I don't know,No,1,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Fear of discrimination,Maybe,Stigma,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Sometimes,Often,26,Non-binary,Back-end Developer|DevOps/SysAdmin,Never
421,100-500,1.0,Yes,I am not sure,No,No,I don't know,Somewhat difficult,No,No,Maybe,Maybe,No,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,Not relevant,No,Not relevant,"Yes, I think it would",Maybe,Somewhat not open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,23,Female,Back-end Developer,Never
422,100-500,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,1,Some did,I was aware of some,Some did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,I wouldn't want to work for an employer who couldn't handle the fact that I (or any coworkers) might have a health issue.,Yes,I wouldn't want to work for an employer who couldn't handle the fact that I (or any coworkers) might have a health issue.,"No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,Yes,Yes,No,Yes,1,Rarely,Sometimes,30,Male,Supervisor/Team Lead|Support,Sometimes
423,More than 1000,0.0,Yes,No,I don't know,Yes,I don't know,Somewhat difficult,Maybe,Maybe,No,No,No,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No reason to risk the job,No,No reason to risk making them concerned about it,Maybe,Maybe,Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,0,Not applicable to me,Sometimes,40,Male,Supervisor/Team Lead,Sometimes
424,100-500,1.0,I don't know,I am not sure,No,I don't know,I don't know,Very difficult,Maybe,Maybe,No,No,I don't know,No,1,Some did,I was aware of some,Some did,Some did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,No,You can be assured that it would not be a taken as a negative. ,No,"Same, although would have greater concern about employer viewing mental health as worse that a physical health issue as well as overall negative views of mental health issues. ","Yes, I think it would",Maybe,Not open at all,"Yes, I observed",I don't know,Maybe,Maybe,Yes,1,Sometimes,Sometimes,46,Male,Supervisor/Team Lead|Support,Sometimes
425,26-100,1.0,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No,Yes,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,"Yes, at all of my previous employers",I don't know,None of them,Maybe,Unknown ramifications. ,Maybe,Unknown ramifications. ,Maybe,"No, I don't think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,26,Male,Back-end Developer,Sometimes
426,More than 1000,1.0,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,No,No,No,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always",I don't know,Some of them,"No, at none of my previous employers",I don't know,I don't know,Some of them,Yes,Fear of discrimination,No,Stigma,"Yes, I think it would",Maybe,Neutral,Maybe/Not sure,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,30,Male,DevOps/SysAdmin,Sometimes
427,100-500,1.0,No,No,No,No,I don't know,I don't know,Yes,Maybe,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,No,Fear of discrimination,No,Stigma,"Yes, I think it would","Yes, I think they would",Very open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,27,Female,Back-end Developer,Always
428,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,if relevant to job,Maybe,if relevant to job,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,35,Male,Executive Leadership,Always
429,26-100,1.0,Yes,Yes,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,No,No,1,Some did,"Yes, I was aware of all of them",Some did,Some did,Sometimes,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Maybe,"I want to be considered the same as every other applicant, and not be categorized by my limitations.",No,"I want to be considered the same as every other applicant, and not be categorized by my limitations.","Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Rarely,Often,26,Female,HR|Dev Evangelist/Advocate|Sales,Sometimes
430,100-500,1.0,I don't know,No,I don't know,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,"If the potential employer explained their position on support for employees with physical health issues at the start of an interview, that would encourage me to speak of it.",Maybe,"Again, if the employer stated their position on mental health issues and support for potential employees then I would feel comfortable talking about it.",Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,Back-end Developer,Always
431,26-100,0.0,I don't know,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,Yes,Yes,1,I don't know,N/A (not currently aware),Some did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Fear of discrimination,Maybe,"Afraid of niet being understood, that makes it hard to talk about it. Especially during an interview.",Maybe,"Yes, they do",Somewhat not open,Maybe/Not sure,Yes,Yes,Yes,No,1,Rarely,Sometimes,29,Male,DevOps/SysAdmin|Back-end Developer,Never
432,100-500,1.0,I don't know,No,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,Maybe,I wouldn't know if I could trust them at that stage,No,I wouldn't know if I could trust them at that stage,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No,No,No,No,1,Not applicable to me,Not applicable to me,34,Male,Back-end Developer|Dev Evangelist/Advocate|Supervisor/Team Lead,Sometimes
433,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),I don't know,None did,I don't know,"Yes, all of them","Yes, all of them",Some of my previous employers,Some of my previous employers,Some did,None of them,No,"unless it would directly inhibit my ability to perform the presumed role or job description i find my physical medical health to be my responsibility and business altogether next to my diet, sexual preferences and similar information. ",No,I personally don't believe that generalized employers have the capacity to grapple with the possibility or potential for any mental health issues when they are worried about keeping their companies afloat.,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,No,No,No,0,Not applicable to me,Often,27,Male,DevOps/SysAdmin|One-person shop,Sometimes
434,100-500,1.0,No,No,No,No,Yes,I don't know,Maybe,No,Maybe,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,Would not wish to prejudice the interview process,Maybe,Would not wish to prejudice the interview process,Maybe,Maybe,Somewhat not open,Maybe/Not sure,No,Maybe,Maybe,No,0,Not applicable to me,Sometimes,39,Male,Executive Leadership,Sometimes
435,100-500,1.0,I don't know,No,I don't know,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers",Some of my previous employers,None did,Some of them,Maybe,Fear of discrimination,Maybe,Stigma,Maybe,"No, I don't think they would",Very open,"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,27,Male,Back-end Developer|DevOps/SysAdmin,Sometimes
436,500-1000,1.0,No,No,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,First I would like them to focus on my abilities and skills. Then when I would pass the initial interview rounds I would bring it up.,No,The same as previous one.,Maybe,"No, I don't think they would",Somewhat open,No,No,Yes,No,Yes,1,Sometimes,Often,31,Male,Supervisor/Team Lead,Sometimes
437,26-100,0.0,No,No,No,No,I don't know,Somewhat difficult,Maybe,No,No,Yes,No,Yes,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Would very much depend on the issue and what impact I thought it would have on the role I was interviewing for.,No,"I don't think enough people are aware of mental health issues, so it is more likely to just have a negative impact","Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,26,Male,Supervisor/Team Lead|Front-end Developer|Back-end Developer,Never
438,26-100,1.0,Yes,No,No,I don't know,Yes,Neither easy nor difficult,Maybe,Maybe,Yes,Maybe,I don't know,No,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,"Is it relevant to the job, is it something I can work around.",Maybe,"Is it relevant to the job, and is it something I can work around.","Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I experienced",Yes,Maybe,Maybe,No,1,Sometimes,Sometimes,44,Male,Back-end Developer,Always
439,100-500,1.0,Yes,No,I don't know,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,1,"Yes, they all did","No, I only became aware later",Some did,Some did,I don't know,Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,No,Fear of discrimination,No,Stigma,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,27,Male,Back-end Developer,Sometimes
440,100-500,0.0,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,1,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,personal info should not be part of interview process,No,Interview is not the place/time for personal info,Maybe,Maybe,Very open,No,Yes,Yes,Yes,Yes,1,Never,Sometimes,57,Female,Back-end Developer|Front-end Developer|Designer,Sometimes
441,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,I don't know,None of them,"Yes, at all of my previous employers",Some of my previous employers,"Yes, they all did",Some of them,Yes,BECAUSE,Maybe,BECAUSE,Maybe,"No, I don't think they would",Very open,"Yes, I observed",I don't know,No,No,No,0,Not applicable to me,Not applicable to me,34,Male,Executive Leadership,Sometimes
442,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Fear of discrimination,No,Since it doesn't affect my job performance it's none of their business.,Maybe,Maybe,Very open,No,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,38,Male,One-person shop|Back-end Developer|Other,Sometimes
443,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,I was aware of some,Some did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,If I thought it irrelevant to the job.,Maybe,If it seemed relevant.,Maybe,"No, I don't think they would",Neutral,Maybe/Not sure,I don't know,Yes,Maybe,Yes,1,Not applicable to me,Often,55,Male,One-person shop|Back-end Developer,Always
444,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did",I was aware of some,None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,No,It would probably impact my application negatively (even if they did not admit so),No,"Same reason, basically. And, it seems like it might be too early in a relationship to do so.  Why should they have a window into my personal life, just because they're my employers?","Yes, it has","Yes, they do",Neutral,"Yes, I experienced",Yes,Maybe,Maybe,No,1,Rarely,Often,28,Male,One-person shop|Back-end Developer,Sometimes
445,More than 1000,0.0,I don't know,I am not sure,No,No,No,Neither easy nor difficult,Yes,No,No,Maybe,I don't know,No,1,"No, none did","No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,No,Fear of discrimination,No,Stigma,Maybe,"Yes, I think they would",Very open,"Yes, I observed",I don't know,Maybe,Maybe,No,1,Often,Sometimes,35,Male,Supervisor/Team Lead|DevOps/SysAdmin,Never
446,100-500,1.0,Yes,No,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,No,Yes,No,1,Some did,I was aware of some,None did,None did,No,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,No,Fear of discrimination as a racial minority with a physical health issue,No,Fear of discrimination as a racial minority with a mental health issue,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,I don't know,Yes,Yes,Yes,1,Often,Often,26,Male,Back-end Developer,Always
447,6-25,1.0,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,I don't know,I don't know,None of them,Yes,Fear of discrimination,Maybe,Stigma,Maybe,"No, I don't think they would",Somewhat open,No,No,No,Maybe,No,0,Not applicable to me,Not applicable to me,22,Female,Front-end Developer|Back-end Developer,Never
448,100-500,1.0,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,Worries about discrimination,No,Worried about discrimination,"Yes, I think it would",Maybe,Neutral,No,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Male,Back-end Developer,Sometimes
449,26-100,1.0,I don't know,No,No,No,No,Somewhat difficult,Maybe,Maybe,No,No,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Fear of discrimination,No,Stigma,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,No,1,Not applicable to me,Not applicable to me,31,Male,Back-end Developer,Never
450,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,"It is by law none of the employer's business and very unlikely to help in procuring a job (a job interview is a sale situation, not a full disclosure session - for both sides: I.e. a business is unlikely to volunteer negative information on its business operations in an interview, too).

The only exception would be if the health issues are going to materially affect my ability to perform the job being offered, in which case I wouldn't be in the interview in the first place, or it would only take place based on the understanding that this was the case. ",No,For the same reasons as for physical health issues...,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,40,Male,Executive Leadership,Sometimes
451,More than 1000,0.0,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Maybe,No,Maybe,Yes,No,No,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,Maybe,"It would depend on the job I'm applying for.  Would it be something like ""I just need a special chair"" or would it be more along the lines of ""I need you to cater to my random days off.""  Either one _should_ be the same, however we all know that each response would not be treated as such.",No,"For the same reason as above, but I don't know at all whether the employer views mental health the same as physical health.",Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,No,Yes,Yes,1,Sometimes,Sometimes,26,Male,DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer,Sometimes
452,1-5,1.0,No,No,No,No,No,Very difficult,Yes,No,No,No,I don't know,No,1,Some did,I was aware of some,None did,None did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,No,Get the job first.,No,Keeping it secret is essential to getting & holding jobs at some companies.,"Yes, it has","Yes, they do",Somewhat not open,"Yes, I experienced",Yes,Yes,Yes,No,1,Sometimes,Sometimes,36,Male,One-person shop,Sometimes
453,26-100,1.0,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,1,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,If it affected my availability.,No,Afraid of the stigma,Maybe,"No, they do not",Somewhat open,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,33,Male,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Sometimes
454,500-1000,1.0,Yes,I am not sure,Yes,No,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,"I kind of feel uncomfortable saying I can't do things, although I guess I would have to in certain situations",No,I'm lucky that I'm mostly functional even when not doing well so I wouldn't disclose until I was at the company and had a better idea of how people react to it. ,"No, I don't think it would","No, they do not",Somewhat not open,No,Yes,Yes,Yes,Yes,1,Sometimes,Often,24,Female,Back-end Developer|Front-end Developer,Sometimes
455,6-25,1.0,No,No,No,No,I don't know,Very easy,Maybe,Maybe,No,Maybe,No,No,1,"No, none did",N/A (not currently aware),Some did,Some did,I don't know,None of them,Some of them,Some of my previous employers,I don't know,None did,None of them,No,Fear of discrimination,No,Stigma,"Yes, it has","Yes, they do",Somewhat not open,No,Yes,Maybe,Maybe,No,0,Often,Rarely,22,Male,Front-end Developer|Back-end Developer,Sometimes
456,6-25,1.0,Yes,Yes,No,Yes,I don't know,Somewhat difficult,No,No,Maybe,Yes,Yes,No,1,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, they all did",I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,Why risk implicit or overt bias?,No,Why risk implicit or overt bias?,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Maybe,Yes,1,Rarely,Rarely,33,Male,Supervisor/Team Lead|DevOps/SysAdmin|Support,Always
457,More than 1000,1.0,Yes,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,There is established non-discrimination policy for disabilities or physical ability,No,Because I fear repercussions including not being hired,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,1,Rarely,Sometimes,37,Female,Support,Sometimes
458,6-25,1.0,Yes,I am not sure,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,"I don't know that it's good, but I typically take management of physical health issues as a personal matter, and wouldn't involve a potential employer.",Maybe,"Because of the nature of our work, mental health issues are far more impactful. If I thought it needed to be accounted for, I would involve the potential employer to ensure they can work with me.",Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",No,Yes,Maybe,No,0,Rarely,Sometimes,29,Male,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Front-end Developer,Always
459,1-5,0.0,Not eligible for coverage / N/A,No,Yes,No,Yes,Neither easy nor difficult,No,No,Yes,Yes,Yes,No,1,Some did,"Yes, I was aware of all of them",Some did,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,"It depends on whether or not he physical health issue would prevent me from doing my job. If not, I would not bring it up.",No,I know there's widespread stigma toward mental health. I would avoid discussion this in an interview (unless I didn't want the job),Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,I don't know,Maybe,No,No,1,Not applicable to me,Not applicable to me,38,Male,Back-end Developer,Sometimes
460,1-5,1.0,No,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,1,Some did,I was aware of some,Some did,Some did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,if it affected the ability for someone to preform their job.,No,taboo ,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Maybe,Maybe,No,0,Sometimes,Not applicable to me,33,Male,DevOps/SysAdmin|Back-end Developer,Sometimes
461,1-5,1.0,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,Yes,Yes,No,No,No,No,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,No,See it as potentially influencing my hirability. ,No,Stigma could influence their desire to hire me. ,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,Yes,Maybe,Yes,1,Never,Often,44,Female,Executive Leadership,Always
462,6-25,0.0,Yes,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,1,Some did,N/A (not currently aware),None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,I don't currently have any I'm concerned about.,No,"That's sensitive, and I'd need to know them better first.",Maybe,"No, I don't think they would",Very open,No,Yes,Yes,Yes,Yes,1,Never,Sometimes,23,Male,Back-end Developer,Sometimes
463,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Fear of discrimination,No,Stigma,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,30,Male,One-person shop,Sometimes
464,More than 1000,0.0,I don't know,No,No,No,I don't know,Very difficult,Yes,No,No,No,No,No,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them","Yes, all of them",Some of my previous employers,"No, at none of my previous employers",None did,None of them,Maybe,It depends on the physical health issue. E.g. Bad Knees vs Bad Allergies,No,Would be afraid that it would negatively affect my potential as a hiring candidate.,"Yes, I think it would","Yes, I think they would",Very open,"Yes, I observed",I don't know,Yes,Yes,Yes,1,Rarely,Sometimes,30,Male,Back-end Developer|Front-end Developer,Never
465,26-100,1.0,Yes,No,No,No,I don't know,Neither easy nor difficult,No,No,Yes,Yes,I don't know,No,1,"Yes, they all did",I was aware of some,"Yes, they all did","Yes, they all did","Yes, always",I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers","Yes, they all did",None of them,Maybe,Fear of discrimination,No,Stigma,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,28,Male,Back-end Developer,Sometimes
466,26-100,1.0,Yes,Yes,No,No,No,Somewhat easy,No,No,Maybe,Maybe,No,No,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,Depends on the feel of the interview,No,"I feel that it would only hurt my chances at employment, or have no bearing at all.",Maybe,"No, I don't think they would",Somewhat not open,Maybe/Not sure,I don't know,Maybe,Maybe,No,0,Not applicable to me,Often,39,Male,Back-end Developer|Front-end Developer,Never
467,6-25,1.0,No,No,No,No,I don't know,Somewhat difficult,Yes,No,No,No,I don't know,No,1,"Yes, they all did",I was aware of some,None did,None did,No,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Yes,Fear of discrimination,No,Stigma,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Never,Sometimes,24,Female,Front-end Developer,Never
